gcm,weight
pattern1,0.01
pattern2,0.01
pattern3,0.04
pattern4,0.04
pattern5,0.01
pattern6,0.01
inmcm4,0.04
gfdl-esm2m,0.04
gfdl-esm2g,0.04
noresm1-m,0.09
mri-cgcm3,0.09
miroc5,0.0229
bcc-csm1-1,0.0229
cnrm-cm5,0.0229
cesm1-bgc,0.0229
mpi-esm-mr,0.0229
mpi-esm-lr,0.0229
ccsm4,0.0229
csiro-mk3-6-0,0.03
access1-0,0.03
bnu-esm,0.03
ipsl-cm5a-mr,0.03
canesm2,0.03
ipsl-cm5a-lr,0.03
gfdl-cm3,0.04
miroc-esm,0.04
miroc-esm-chem,0.04
pattern28,0.01
pattern29,0.01
pattern30,0.04
pattern31,0.04
pattern32,0.01
pattern33,0.01
