region,year,mean,sdev
CYP,1980-1999,19.330111942530678,0.5400369473646045
TON,1980-1999,22.25323268459432,0.43781875733626985
CHN,1980-1999,15.499957950544154,0.42572034220282334
VUT,1980-1999,23.490532380267666,0.41640092739566614
SPM,1980-1999,8.3597296052398047,0.28244619312350094
BEL,1980-1999,10.477057634537191,0.49559398793072273
ISL,1980-1999,3.1823814134717487,0.37768384068159999
CHL,1980-1999,12.827075986183837,0.21608570868487093
FUND-FSU,1980-1999,7.5653787886248471,0.53597002302432606
GMB,1980-1999,27.80524180424263,0.22279407447627811
KHM,1980-1999,28.828639273862958,0.19986386579660201
GTM,1980-1999,21.110081197826428,0.22179769192599452
DMA,1980-1999,24.265485990995142,0.26768240837270685
HTI,1980-1999,26.130472003665432,0.10778468918434811
SRB,1980-1999,11.994140311763875,0.56664313056494187
NLD,1980-1999,10.218877137954264,0.48463266159893692
UMI,1980-1999,23.073646856651145,0.34086932003421944
BRB,1980-1999,27.601845529787713,0.24606973346374991
GNB,1980-1999,27.669989849234227,0.16313966694513046
GRL,1980-1999,-8.2076752255651222,0.26133817892095529
TWN,1980-1999,nan,nan
COG,1980-1999,25.679434309444666,0.24794552977801804
COD,1980-1999,25.145295761619153,0.16137971918783336
IRL,1980-1999,9.7804081030969332,0.21062664242210236
JOR,1980-1999,20.201999588491528,0.49203734032530705
BHR,1980-1999,28.843534988339478,0.38882371408604416
YEM,1980-1999,21.571556701819766,0.13293120782519216
NPL,1980-1999,20.368194228934446,0.26526886622708101
LAO,1980-1999,25.129916374653451,0.31065764359865816
CAN,1980-1999,6.9320563272452258,0.45768994929098755
URY,1980-1999,17.992450159463921,0.19673999406761189
KWT,1980-1999,27.235011463883531,0.41363241222195818
CPV,1980-1999,21.823335954833727,0.47790101413698743
SHN,1980-1999,11.723136051928149,0.2095394478081814
UGA,1980-1999,23.857666701951285,0.19832864733062719
UKR,1980-1999,9.5340692368511384,0.55189214936887809
TLS,1980-1999,25.398965524330304,0.46769119174696916
TCD,1980-1999,29.151202333522139,0.29406843605614102
SSD,1980-1999,28.834652669260194,0.43358294788034801
PLW,1980-1999,28.074824540684908,0.47279598791006994
PHL,1980-1999,26.707771688325632,0.33212311012024837
WSM,1980-1999,25.940465887221333,0.26073548856660989
DNK,1980-1999,8.6962359440376567,0.53020343538773795
ESH,1980-1999,23.601291321311532,0.36477176405868605
ATF,1980-1999,nan,nan
BFA,1980-1999,29.007123101206503,0.29392212963190723
VEN,1980-1999,25.979495822635155,0.28486142359351674
ARM,1980-1999,9.2182908955977059,0.69366860976169353
TJK,1980-1999,11.430050193515283,0.84854107262291611
EST,1980-1999,6.3821632792261358,0.66545431915988906
