"year","global_tas"
1981,-0.181012094020844
1982,-0.23557710647583
1983,-0.498364090919495
1984,-0.357007086277008
1985,-0.356091111898422
1986,-0.127179101109505
1987,-0.202557101845741
1988,-0.164960101246834
1989,-0.197461098432541
1990,0.0536378994584084
1991,-0.0290951002389193
1992,-0.460431098937988
1993,-0.218213096261024
1994,0.00883790012449026
1995,-0.140851095318794
1996,-0.120984099805355
1997,0.0894649028778076
1998,0.044573899358511
1999,-0.00761110009625554
2000,0.163195893168449
2001,0.0955689027905464
2002,0.219195902347565
2003,0.274798899888992
2004,0.334582895040512
2005,0.385485887527466
2006,0.28480789065361
2007,0.154406905174255
2008,0.321612894535065
2009,0.32692289352417
2010,0.405627906322479
2011,0.371294885873795
2012,0.408312886953354
2013,0.310412913560867
2014,0.541521906852722
2015,0.349779903888702
2016,0.351061910390854
2017,0.465716898441315
2018,0.42372390627861
2019,0.51460587978363
2020,0.40758091211319
2021,0.589800894260406
2022,0.68187290430069
2023,0.568163871765137
2024,0.748186886310577
2025,0.622698903083801
2026,0.710802912712097
2027,0.683031916618347
2028,0.704973876476288
2029,0.923815906047821
2030,0.93034690618515
2031,0.952593922615051
2032,1.00017094612122
2033,1.02717888355255
2034,0.783617913722992
2035,0.875353872776031
2036,1.12904691696167
2037,1.04674088954926
2038,1.05806291103363
2039,1.20918595790863
2040,1.17595195770264
2041,1.28511393070221
2042,1.34804093837738
2043,1.27235686779022
2044,1.3495968580246
2045,1.36677885055542
2046,1.40150785446167
2047,1.51658892631531
2048,1.43910491466522
2049,1.43699991703033
2050,1.61339092254639
2051,1.47938895225525
2052,1.58070695400238
2053,1.77632486820221
2054,1.77827787399292
2055,1.82969987392426
2056,1.81263995170593
2057,2.04304790496826
2058,1.89738786220551
2059,1.95955193042755
2060,1.94401884078979
2061,2.02788090705872
2062,2.09010601043701
2063,2.24922490119934
2064,2.22444486618042
2065,2.26234793663025
2066,2.27763700485229
2067,2.45595097541809
2068,2.41249394416809
2069,2.50789189338684
2070,2.37504887580872
2071,2.47398686408997
2072,2.62816190719604
2073,2.50896000862122
2074,2.70073294639587
2075,2.81367778778076
2076,2.73478984832764
2077,2.91142582893372
2078,2.90925884246826
2079,3.05259990692139
2080,3.10316801071167
2081,3.07692289352417
2082,3.10505986213684
2083,3.12953495979309
2084,3.27907085418701
2085,3.18254399299622
2086,3.27739286422729
2087,3.32261991500854
2088,3.36198687553406
2089,3.41624784469604
2090,3.38145780563354
2091,3.60154986381531
2092,3.64222979545593
2093,3.74022197723389
2094,3.72243094444275
2095,3.69017291069031
2096,3.77440190315247
2097,3.89491581916809
2098,3.88701200485229
2099,3.84858989715576
