"year","global_tas"
1981,-0.223516643047333
1982,-0.420751661062241
1983,-0.472418636083603
1984,-0.435064643621445
1985,-0.385748654603958
1986,-0.215063646435738
1987,-0.0818236470222473
1988,-0.228887647390366
1989,-0.177862644195557
1990,-0.116125650703907
1991,-0.213415652513504
1992,-0.370947659015656
1993,-0.373296648263931
1994,-0.219885647296906
1995,0.0107363499701023
1996,0.119958348572254
1997,0.114557348191738
1998,-0.0459346510469913
1999,0.174157351255417
2000,0.400415360927582
2001,0.157434344291687
2002,0.199792355298996
2003,0.393304347991943
2004,0.233819350600243
2005,0.23906834423542
2006,0.530969321727753
2007,0.376611351966858
2008,0.281488358974457
2009,0.624231338500977
2010,0.561212360858917
2011,0.286432355642319
2012,0.490319341421127
2013,0.628259360790253
2014,0.360192358493805
2015,0.301568359136581
2016,0.715112328529358
2017,0.782678365707397
2018,0.608880341053009
2019,0.698266327381134
2020,0.814264357089996
2021,0.850335359573364
2022,0.976190328598022
2023,0.988763332366943
2024,1.07073330879211
2025,1.11324429512024
2026,1.08828139305115
2027,1.22933340072632
2028,1.2801753282547
2029,1.20928335189819
2030,1.19841933250427
2031,1.42925429344177
2032,1.08587038516998
2033,1.12154531478882
2034,1.54036831855774
2035,1.63244032859802
2036,1.39885830879211
2037,1.45488929748535
2038,1.59441530704498
2039,1.6278623342514
2040,1.8781373500824
2041,1.59945034980774
2042,1.65538930892944
2043,1.79293239116669
2044,2.02260732650757
2045,1.67565333843231
2046,1.83312332630157
2047,2.19686245918274
2048,1.9906553030014
2049,1.98415529727936
2050,2.19271230697632
2051,2.3492374420166
2052,2.39473843574524
2053,2.23497939109802
2054,2.4024293422699
2055,2.45195937156677
2056,2.42745327949524
2057,2.61284828186035
2058,2.75725746154785
2059,2.54116225242615
2060,2.52285146713257
2061,2.7878053188324
2062,2.73882436752319
2063,3.00222134590149
2064,3.06813931465149
2065,2.83208632469177
2066,2.91951942443848
2067,3.16585731506348
2068,3.18557143211365
2069,3.07726430892944
2070,3.32732534408569
2071,3.4079532623291
2072,3.30535244941711
2073,3.33483242988586
2074,3.39183926582336
2075,3.48046231269836
2076,3.64776039123535
2077,3.58437538146973
2078,3.54546523094177
2079,3.70476627349854
2080,3.95760536193848
2081,4.02846622467041
2082,4.06041812896729
2083,3.85186123847961
2084,3.9546754360199
2085,4.08635854721069
2086,4.31688833236694
2087,4.22542715072632
2088,4.02626943588257
2089,4.25216054916382
2090,4.46013832092285
2091,4.39049625396729
2092,4.45882558822632
2093,4.45842933654785
2094,4.32256412506104
2095,4.37261343002319
2096,4.48677921295166
2097,4.61184024810791
2098,4.79790639877319
2099,4.66307926177979
