"year","global_tas"
1981,-0.113078698515892
1982,-0.251383692026138
1983,-0.318980693817139
1984,-0.262888699769974
1985,-0.023692699149251
1986,-0.133372694253922
1987,-0.173136696219444
1988,-0.017374699935317
1989,0.0686232969164848
1990,0.0504042990505695
1991,0.0271802991628647
1992,-0.332560688257217
1993,-0.27466869354248
1994,-0.307322710752487
1995,-0.031351700425148
1996,0.0786632969975471
1997,0.00224729999899864
1998,0.0789382979273796
1999,0.0838212966918945
2000,0.0199782997369766
2001,0.219807296991348
2002,0.123036302626133
2003,0.0815322995185852
2004,0.15706330537796
2005,0.278492301702499
2006,0.358479291200638
2007,0.235371306538582
2008,0.320302307605743
2009,0.378956288099289
2010,0.414662301540375
2011,0.690877318382263
2012,0.63972932100296
2013,0.596119284629822
2014,0.755147278308868
2015,0.620045304298401
2016,0.606038272380829
2017,0.672200322151184
2018,0.751515328884125
2019,0.930897295475006
2020,0.971211314201355
2021,1.00706934928894
2022,1.0526932477951
2023,1.08781933784485
2024,1.00838124752045
2025,1.12776625156403
2026,1.23418128490448
2027,1.33342432975769
2028,1.37804126739502
2029,1.32976233959198
2030,1.41444826126099
2031,1.36305725574493
2032,1.42842531204224
2033,1.51344728469849
2034,1.54189026355743
2035,1.40382826328278
2036,1.46361231803894
2037,1.64940333366394
2038,1.69139528274536
2039,1.61354529857635
2040,1.57674133777618
2041,1.8070262670517
2042,1.8860672712326
2043,1.99947035312653
2044,1.94035828113556
2045,1.97624635696411
2046,2.09026026725769
2047,2.24812841415405
2048,2.36943531036377
2049,2.47078418731689
2050,2.50993824005127
2051,2.49406933784485
2052,2.53581738471985
2053,2.62730836868286
2054,2.66988039016724
2055,2.59923219680786
2056,2.62022829055786
2057,2.69850635528564
2058,2.96638941764832
2059,2.99693727493286
2060,2.96831226348877
2061,2.91624927520752
2062,2.97050929069519
2063,3.06624341011047
2064,3.13597536087036
2065,3.24620532989502
2066,3.31544923782349
2067,3.34749341011047
2068,3.31786036491394
2069,3.46791529655457
2070,3.53703737258911
2071,3.63469433784485
2072,3.7021381855011
2073,3.78157520294189
2074,3.72923731803894
2075,3.85487818717957
2076,3.97493433952332
2077,4.10338306427002
2078,4.08220338821411
2079,4.03465747833252
2080,4.09383106231689
2081,4.18764209747314
2082,4.37001514434814
2083,4.38023853302002
2084,4.51158618927002
2085,4.70088624954224
2086,4.72331714630127
2087,4.80806446075439
2088,4.77599048614502
2089,4.9373984336853
2090,4.95201539993286
2091,5.10310840606689
2092,5.06050539016724
2093,5.02681446075439
2094,5.18791627883911
2095,5.37627124786377
2096,5.36848926544189
2097,5.43602418899536
2098,5.53459644317627
2099,5.65819215774536
