"year","global_tas"
1981,-0.0408784002065659
1982,-0.0277554001659155
1983,-0.026290399953723
1984,0.0190276000648737
1985,0.0342865996062756
1986,-0.19172640144825
1987,-0.0470734015107155
1988,-0.12336739897728
1989,0.0229036007076502
1990,0.0341335982084274
1991,0.0566256009042263
1992,-0.232040405273438
1993,-0.116348400712013
1994,-0.216751396656036
1995,-0.0295864008367062
1996,0.0220486000180244
1997,0.00563059980049729
1998,0.0180815998464823
1999,-0.021560400724411
2000,0.0662686005234718
2001,0.0682526007294655
2002,0.113326601684093
2003,0.183151602745056
2004,0.175460606813431
2005,0.21257059276104
2006,0.132125601172447
2007,0.196548596024513
2008,0.323348611593246
2009,0.167404606938362
2010,0.0219266004860401
2011,0.0579075999557972
2012,0.117721602320671
2013,0.333297610282898
2014,0.33476260304451
2015,0.247390598058701
2016,0.349838614463806
2017,0.507919609546661
2018,0.334854602813721
2019,0.468704611063004
2020,0.430190593004227
2021,0.449996590614319
2022,0.508315622806549
2023,0.528579592704773
2024,0.495651602745056
2025,0.488571614027023
2026,0.642135620117188
2027,0.709304571151733
2028,0.639999628067017
2029,0.795547604560852
2030,0.814895570278168
2031,0.719009578227997
2032,0.798751592636108
2033,0.744796574115753
2034,0.722457587718964
2035,0.725479602813721
2036,0.867904603481293
2037,0.833175599575043
2038,0.954727590084076
2039,1.02784764766693
2040,0.981216609477997
2041,1.13099658489227
2042,1.13053858280182
2043,1.22163355350494
2044,1.21137964725494
2045,1.35157763957977
2046,1.34007263183594
2047,1.30677759647369
2048,1.48924255371094
2049,1.43739354610443
2050,1.42417860031128
2051,1.54038965702057
2052,1.51130664348602
2053,1.54908764362335
2054,1.59919762611389
2055,1.72306859493256
2056,1.76267957687378
2057,1.95429956912994
2058,1.81889355182648
2059,1.82460057735443
2060,1.93653857707977
2061,2.09999060630798
2062,2.03019762039185
2063,2.16041564941406
2064,2.17875671386719
2065,2.12837266921997
2066,2.3242335319519
2067,2.39097571372986
2068,2.26878356933594
2069,2.29118371009827
2070,2.3063817024231
2071,2.44770860671997
2072,2.46208167076111
2073,2.50004553794861
2074,2.60456848144531
2075,2.5308985710144
2076,2.52449059486389
2077,2.60185265541077
2078,2.50389051437378
2079,2.71754455566406
2080,2.71232557296753
2081,2.67555260658264
2082,2.79319763183594
2083,2.8722996711731
2084,3.0324854850769
2085,2.94819664955139
2086,3.03468370437622
2087,3.08637952804565
2088,3.13926649093628
2089,3.23350548744202
2090,3.30665564537048
2091,3.36967468261719
2092,3.35874962806702
2093,3.36250257492065
2094,3.39006066322327
2095,3.45365858078003
2096,3.46849060058594
2097,3.64924669265747
2098,3.55110168457031
2099,3.62937951087952
