"year","global_tas"
1981,-0.258451849222183
1982,-0.195463851094246
1983,-0.515165865421295
1984,-0.314146846532822
1985,-0.298704862594604
1986,-0.345090836286545
1987,-0.0989978536963463
1988,-0.0904828533530235
1989,-0.0505968518555164
1990,-0.0635358467698097
1991,-0.127256855368614
1992,-0.300596863031387
1993,-0.365568846464157
1994,-0.318082839250565
1995,-0.228941842913628
1996,-0.0447368510067463
1997,0.144288152456284
1998,0.012025149539113
1999,0.173860147595406
2000,0.167177155613899
2001,0.235322147607803
2002,0.35714915394783
2003,0.361360162496567
2004,0.24081614613533
2005,0.341890156269073
2006,0.654451131820679
2007,0.528078138828278
2008,0.650545120239258
2009,0.683229148387909
2010,0.522127151489258
2011,0.50558614730835
2012,0.777803122997284
2013,0.92498916387558
2014,0.634798169136047
2015,0.610811173915863
2016,0.848207175731659
2017,0.91549813747406
2018,0.90860116481781
2019,0.965578138828278
2020,1.01220810413361
2021,0.901338160037994
2022,1.07464718818665
2023,1.11551010608673
2024,0.957612156867981
2025,1.13620114326477
2026,1.32901120185852
2027,1.33291816711426
2028,1.22290217876434
2029,1.51309311389923
2030,1.65881514549255
2031,1.47372615337372
2032,1.64077913761139
2033,1.53344917297363
2034,1.48291218280792
2035,1.75277817249298
2036,1.62286520004272
2037,1.68072617053986
2038,1.72711312770844
2039,1.72284114360809
2040,1.76440620422363
2041,1.86572420597076
2042,1.76165914535522
2043,2.04010105133057
2044,2.05597114562988
2045,1.99118220806122
2046,2.09314107894897
2047,2.14007711410522
2048,2.32159614562988
2049,2.04889106750488
2050,2.28207516670227
2051,2.45843625068665
2052,2.45205807685852
2053,2.59601020812988
2054,2.4339611530304
2055,2.85824704170227
2056,2.79016208648682
2057,2.76712226867676
2058,2.89737105369568
2059,2.81521725654602
2060,2.83661007881165
2061,3.04794406890869
2062,3.13754415512085
2063,3.17090010643005
2064,3.08572506904602
2065,3.31305122375488
2066,3.2750871181488
2067,3.60354804992676
2068,3.58795309066772
2069,3.43445014953613
2070,3.62967109680176
2071,3.80533003807068
2072,3.62991523742676
2073,3.7393810749054
2074,3.83282613754272
2075,3.77832221984863
2076,3.93164205551147
2077,4.08136129379272
2078,3.87890815734863
2079,4.08963108062744
2080,4.15072822570801
2081,3.97354316711426
2082,4.29666328430176
2083,4.38711738586426
2084,4.31439304351807
2085,4.51376533508301
2086,4.56454610824585
2087,4.42657613754272
2088,4.57745504379272
2089,4.75055122375488
2090,4.59637594223022
2091,4.70642232894897
2092,4.75518894195557
2093,4.83587837219238
2094,4.86773824691772
2095,5.05505514144897
2096,4.98291206359863
2097,5.03472995758057
2098,5.22677707672119
2099,5.21039009094238
