"year","global_tas"
1981,-0.234632506966591
1982,-0.213087499141693
1983,-0.18461449444294
1984,-0.225111499428749
1985,-0.418958485126495
1986,-0.28422349691391
1987,-0.128370493650436
1988,-0.0435925014317036
1989,-0.0615375004708767
1990,-0.0748125016689301
1991,-0.31538251042366
1992,-0.462843507528305
1993,-0.239363506436348
1994,-0.275862485170364
1995,-0.0446914993226528
1996,0.181596502661705
1997,0.106309503316879
1998,0.0429245010018349
1999,0.109269499778748
2000,0.218095496296883
2001,0.152208507061005
2002,0.218797504901886
2003,0.249650493264198
2004,0.252488493919373
2005,0.399339497089386
2006,0.340806514024734
2007,0.408158510923386
2008,0.577012479305267
2009,0.512498497962952
2010,0.365892499685287
2011,0.400376498699188
2012,0.421647489070892
2013,0.589677512645721
2014,0.593705475330353
2015,0.654466509819031
2016,0.808122515678406
2017,0.766679525375366
2018,0.852891504764557
2019,0.778611481189728
2020,0.718461513519287
2021,0.755296528339386
2022,0.957261502742767
2023,0.81547749042511
2024,0.887834489345551
2025,0.997728526592255
2026,0.955552518367767
2027,0.880204498767853
2028,0.916490495204926
2029,0.972978472709656
2030,1.12519955635071
2031,1.25700545310974
2032,1.2936874628067
2033,1.25273251533508
2034,1.27900850772858
2035,1.29979145526886
2036,1.46348750591278
2037,1.46434152126312
2038,1.45384347438812
2039,1.47261250019073
2040,1.47889852523804
2041,1.5925464630127
2042,1.66856551170349
2043,1.67674446105957
2044,1.74238753318787
2045,1.73787045478821
2046,2.06688046455383
2047,2.12767148017883
2048,1.99727046489716
2049,2.03694343566895
2050,2.04084944725037
2051,2.24571347236633
2052,2.25328254699707
2053,2.16148543357849
2054,2.29747152328491
2055,2.43858456611633
2056,2.71934652328491
2057,2.66975545883179
2058,2.58183455467224
2059,2.62342953681946
2060,2.81178450584412
2061,2.81025838851929
2062,2.91069149971008
2063,2.94145345687866
2064,2.98466658592224
2065,2.94136238098145
2066,2.98121857643127
2067,3.11677742004395
2068,3.23628354072571
2069,3.27620053291321
2070,3.43553352355957
2071,3.41475057601929
2072,3.49128842353821
2073,3.60768246650696
2074,3.64366340637207
2075,3.84932160377502
2076,3.79231452941895
2077,3.8149585723877
2078,3.91533041000366
2079,4.0094165802002
2080,3.84901547431946
2081,3.89015340805054
2082,3.82566952705383
2083,4.0025806427002
2084,4.0055103302002
2085,4.05302572250366
2086,4.19108772277832
2087,4.3283863067627
2088,4.15104866027832
2089,4.36705160140991
2090,4.3829517364502
2091,4.46846151351929
2092,4.50560140609741
2093,4.47996664047241
2094,4.57139730453491
2095,4.60377645492554
2096,4.62336826324463
2097,4.78257942199707
2098,5.01582431793213
2099,5.02339363098145
