"year","global_tas"
1981,-0.0766230300068855
1982,-0.0666230320930481
1983,-0.0566230304539204
1984,-0.0566230304539204
1985,-0.0566230304539204
1986,-0.0466230325400829
1987,-0.0366230309009552
1988,-0.0266230311244726
1989,-0.01662303134799
1990,-0.00662303157150745
1991,0.00337696843780577
1992,0.0233769677579403
1993,0.033376969397068
1994,0.0533769689500332
1995,0.0733769685029984
1996,0.0933769717812538
1997,0.103376969695091
1998,0.123376965522766
1999,0.143376961350441
2000,0.163376972079277
2001,0.183376967906952
2002,0.213376969099045
2003,0.253376960754395
2004,0.283376961946487
2005,0.31337696313858
2006,0.343376964330673
2007,0.373376965522766
2008,0.403376966714859
2009,0.433376967906952
2010,0.463376969099045
2011,0.493376970291138
2012,0.523376941680908
2013,0.553376972675323
2014,0.593376994132996
2015,0.623376965522766
2016,0.663376986980438
2017,0.693376958370209
2018,0.733376979827881
2019,0.773376941680908
2020,0.81337696313858
2021,0.853376984596252
2022,0.89337694644928
2023,0.943376958370209
2024,0.983376979827881
2025,1.03337693214417
2026,1.07337701320648
2027,1.12337696552277
2028,1.17337691783905
2029,1.22337698936462
2030,1.27337694168091
2031,1.33337700366974
2032,1.38337695598602
2033,1.4333770275116
2034,1.48337697982788
2035,1.54337692260742
2036,1.593376994133
2037,1.65337693691254
2038,1.72337698936462
2039,1.78337693214417
2040,1.85337698459625
2041,1.91337692737579
2042,1.98337697982788
2043,2.05337691307068
2044,2.11337685585022
2045,2.1833770275116
2046,2.25337696075439
2047,2.32337689399719
2048,2.39337706565857
2049,2.47337698936462
2050,2.54337692260742
2051,2.62337708473206
2052,2.69337701797485
2053,2.78337693214417
2054,2.86337685585022
2055,2.95337700843811
2056,3.04337692260742
2057,3.14337706565857
2058,3.23337697982788
2059,3.32337689399719
2060,3.41337704658508
2061,3.51337695121765
2062,3.61337685585022
2063,3.72337698936462
2064,3.81337690353394
2065,3.90337705612183
2066,4.00337696075439
2067,4.10337686538696
2068,4.19337701797485
2069,4.29337692260742
2070,4.38337707519531
2071,4.49337673187256
2072,4.59337711334229
2073,4.68337678909302
2074,4.75337696075439
2075,4.83337688446045
2076,4.9133768081665
2077,5.03337717056274
2078,5.13337707519531
2079,5.24337673187256
2080,5.33337688446045
2081,5.4133768081665
2082,5.50337696075439
2083,5.6133770942688
2084,5.68337678909302
2085,5.75337696075439
2086,5.83337688446045
2087,5.9133768081665
2088,6.00337696075439
2089,6.09337711334229
2090,6.17337703704834
2091,6.27337694168091
2092,6.3633770942688
2093,6.45337677001953
2094,6.53337717056274
2095,6.6133770942688
2096,6.69337701797485
2097,6.77337694168091
2098,6.87337684631348
2099,6.98337697982788
