"year","global_tas"
1981,-0.443949460983276
1982,-0.390788435935974
1983,-0.48780345916748
1984,-0.438822448253632
1985,-0.582286477088928
1986,-0.378031462430954
1987,-0.24213744699955
1988,-0.197734445333481
1989,-0.0834154486656189
1990,-0.0288194492459297
1991,-0.271403461694717
1992,-0.336955457925797
1993,-0.101145446300507
1994,-0.14338244497776
1995,-0.239787444472313
1996,-0.133952453732491
1997,0.0512585490942001
1998,0.213826552033424
1999,0.222523555159569
2000,0.284535557031631
2001,0.280201554298401
2002,0.265644550323486
2003,0.232258543372154
2004,0.262135535478592
2005,0.344380557537079
2006,0.235462546348572
2007,0.183369547128677
2008,0.314656555652618
2009,0.315205544233322
2010,0.385121554136276
2011,0.339619547128677
2012,0.361622542142868
2013,0.544667541980743
2014,0.60942554473877
2015,0.411610543727875
2016,0.469380557537079
2017,0.356312543153763
2018,0.631214559078217
2019,0.641957521438599
2020,0.651020526885986
2021,0.653218567371368
2022,0.626210570335388
2023,0.650318562984467
2024,0.677662551403046
2025,0.787251532077789
2026,0.894276559352875
2027,0.763447523117065
2028,0.799549579620361
2029,0.957051575183868
2030,0.919483542442322
2031,1.03004956245422
2032,1.08934450149536
2033,1.10579359531403
2034,1.19862854480743
2035,1.07857251167297
2036,1.17204749584198
2037,1.19417250156403
2038,1.15797853469849
2039,1.24632751941681
2040,1.29948854446411
2041,1.09413659572601
2042,1.17943251132965
2043,1.32335352897644
2044,1.45427453517914
2045,1.41563856601715
2046,1.36012756824493
2047,1.78423058986664
2048,1.58598756790161
2049,1.54759657382965
2050,1.63243556022644
2051,1.58751356601715
2052,1.64360558986664
2053,1.75093555450439
2054,1.64268958568573
2055,1.75569653511047
2056,1.6454975605011
2057,1.6713455915451
2058,1.6957905292511
2059,1.72594153881073
2060,1.69569849967957
2061,1.83333253860474
2062,1.9543045759201
2063,2.02229762077332
2064,1.88271057605743
2065,1.85506153106689
2066,1.96202552318573
2067,1.83302760124207
2068,1.90984058380127
2069,1.94679760932922
2070,2.18162965774536
2071,2.00307154655457
2072,1.84496057033539
2073,1.9628494977951
2074,1.9445995092392
2075,1.97237050533295
2076,2.03981447219849
2077,2.01399660110474
2078,1.97777259349823
2079,2.01848363876343
2080,2.15282154083252
2081,2.22554445266724
2082,2.15742945671082
2083,2.03636646270752
2084,1.85927259922028
2085,1.9682205915451
2086,2.12157154083252
2087,2.06343555450439
2088,2.01289844512939
2089,2.04314160346985
2090,2.06911158561707
2091,2.22847461700439
2092,2.35069751739502
2093,2.21660351753235
2094,2.14525365829468
2095,1.98198354244232
2096,2.19597363471985
2097,2.2617084980011
2098,2.17592358589172
2099,2.4736225605011
