"year","global_tas"
1981,-0.223516643047333
1982,-0.420751661062241
1983,-0.472418636083603
1984,-0.435064643621445
1985,-0.385748654603958
1986,-0.215063646435738
1987,-0.0818236470222473
1988,-0.228887647390366
1989,-0.177862644195557
1990,-0.116125650703907
1991,-0.213415652513504
1992,-0.370947659015656
1993,-0.373296648263931
1994,-0.219885647296906
1995,0.0107363499701023
1996,0.119958348572254
1997,0.114557348191738
1998,-0.0459346510469913
1999,0.174157351255417
2000,0.400415360927582
2001,0.157434344291687
2002,0.199792355298996
2003,0.393304347991943
2004,0.233819350600243
2005,0.23906834423542
2006,0.677697360515594
2007,0.433160364627838
2008,0.422204345464706
2009,0.439080357551575
2010,0.626703321933746
2011,0.567834377288818
2012,0.339776337146759
2013,0.654931366443634
2014,0.795129358768463
2015,0.588067352771759
2016,0.512506365776062
2017,0.545404374599457
2018,0.787317335605621
2019,0.903558373451233
2020,0.794732332229614
2021,0.784723341464996
2022,1.05620729923248
2023,0.879144370555878
2024,0.9017573595047
2025,0.891839325428009
2026,1.10479140281677
2027,1.29656338691711
2028,1.33696937561035
2029,1.0331974029541
2030,1.03920936584473
2031,1.14748537540436
2032,1.17547035217285
2033,1.14986538887024
2034,1.4267213344574
2035,1.2247554063797
2036,1.07781338691711
2037,1.33312332630157
2038,1.37728238105774
2039,0.974023342132568
2040,1.26595437526703
2041,1.25939333438873
2042,1.36754739284515
2043,1.28035938739777
2044,1.36281740665436
2045,1.47564029693604
2046,1.48137831687927
2047,1.6698853969574
2048,1.6667423248291
2049,1.7441953420639
2050,1.85604238510132
2051,1.75997340679169
2052,1.53481435775757
2053,1.42662930488586
2054,1.52318739891052
2055,1.69933438301086
2056,1.5517213344574
2057,1.67113637924194
2058,1.86098635196686
2059,1.95125734806061
2060,1.91576540470123
2061,1.89235830307007
2062,2.02221035957336
2063,2.02224135398865
2064,2.08925724029541
2065,1.93251931667328
2066,2.04207730293274
2067,2.05993032455444
2068,2.02068424224854
2069,2.02831435203552
2070,2.00292325019836
2071,2.00722646713257
2072,2.08883023262024
2073,1.9055722951889
2074,2.35622525215149
2075,2.12706923484802
2076,1.81899440288544
2077,1.89785134792328
2078,2.14391446113586
2079,2.29284024238586
2080,2.09887027740479
2081,2.33727431297302
2082,2.28453946113586
2083,2.23317837715149
2084,1.95906937122345
2085,2.1073853969574
2086,2.34511733055115
2087,2.17116737365723
2088,2.06521034240723
2089,2.14333534240723
2090,2.2067813873291
2091,2.22606825828552
2092,2.04970741271973
2093,1.88839137554169
2094,2.11107730865479
2095,2.21962928771973
2096,2.18770742416382
2097,2.1912784576416
2098,2.21862125396729
2099,2.2185914516449
