"year","global_tas"
1981,-0.113078698515892
1982,-0.251383692026138
1983,-0.318980693817139
1984,-0.262888699769974
1985,-0.023692699149251
1986,-0.133372694253922
1987,-0.173136696219444
1988,-0.017374699935317
1989,0.0686232969164848
1990,0.0504042990505695
1991,0.0271802991628647
1992,-0.332560688257217
1993,-0.27466869354248
1994,-0.307322710752487
1995,-0.031351700425148
1996,0.0786632969975471
1997,0.00224729999899864
1998,0.0789382979273796
1999,0.0838212966918945
2000,0.0199782997369766
2001,0.219807296991348
2002,0.123036302626133
2003,0.0815322995185852
2004,0.15706330537796
2005,0.278492301702499
2006,0.302327305078506
2007,0.336232304573059
2008,0.521565318107605
2009,0.438344299793243
2010,0.491749286651611
2011,0.544270277023315
2012,0.453297287225723
2013,0.527699291706085
2014,0.582203328609467
2015,0.648549318313599
2016,0.540120303630829
2017,0.615803301334381
2018,0.666646301746368
2019,0.608845293521881
2020,0.65535432100296
2021,0.81673127412796
2022,0.69673627614975
2023,0.825062274932861
2024,1.07231628894806
2025,0.993763327598572
2026,1.22017335891724
2027,1.21938025951385
2028,1.17711329460144
2029,1.30443227291107
2030,1.26662135124207
2031,1.04250025749207
2032,1.2908833026886
2033,1.31663930416107
2034,1.16011524200439
2035,1.21861732006073
2036,1.31001734733582
2037,1.31789135932922
2038,1.4065443277359
2039,1.45177125930786
2040,1.35387134552002
2041,1.50233924388885
2042,1.53343629837036
2043,1.62059533596039
2044,1.6234632730484
2045,1.75694727897644
2046,1.6322523355484
2047,1.52989625930786
2048,1.75404834747314
2049,1.83372926712036
2050,1.87639331817627
2051,1.90450024604797
2052,1.94267725944519
2053,1.95079529285431
2054,1.94447827339172
2055,1.95753931999207
2056,2.09132838249207
2057,2.08549928665161
2058,2.10005640983582
2059,2.23003125190735
2060,2.29866528511047
2061,2.1935932636261
2062,2.1450092792511
2063,2.27031421661377
2064,2.30840039253235
2065,2.37343335151672
2066,2.26396632194519
2067,2.07985424995422
2068,2.17546534538269
2069,2.15819239616394
2070,2.10216236114502
2071,2.26720118522644
2072,2.43278932571411
2073,2.46727418899536
2074,2.33910036087036
2075,2.40349221229553
2076,2.43181324005127
2077,2.45412135124207
2078,2.50169825553894
2079,2.51955127716064
2080,2.51936841011047
2081,2.45766139030457
2082,2.59566235542297
2083,2.67924928665161
2084,2.71220827102661
2085,2.59279322624207
2086,2.54546022415161
2087,2.54027223587036
2088,2.60133838653564
2089,2.65877223014832
2090,2.53117823600769
2091,2.57158327102661
2092,2.58064723014832
2093,2.43455934524536
2094,2.52339625358582
2095,2.45686841011047
2096,2.61711621284485
2097,2.71342921257019
2098,2.62959718704224
2099,2.56407618522644
