"year","global_tas"
1981,-0.160137444734573
1982,-0.140137434005737
1983,-0.140137434005737
1984,-0.140137434005737
1985,-0.13013744354248
1986,-0.120137438178062
1987,-0.110137440264225
1988,-0.100137442350388
1989,-0.0901374369859695
1990,-0.0801374390721321
1991,-0.0701374411582947
1992,-0.0601374395191669
1993,-0.0401374399662018
1994,-0.0301374383270741
1995,-0.0101374387741089
1996,0.00986256077885628
1997,0.0198625605553389
1998,0.0398625619709492
1999,0.0598625615239143
2000,0.0798625648021698
2001,0.0998625606298447
2002,0.129862561821938
2003,0.15986256301403
2004,0.189862564206123
2005,0.219862565398216
2006,0.249862566590309
2007,0.279862552881241
2008,0.309862554073334
2009,0.339862555265427
2010,0.359862565994263
2011,0.389862567186356
2012,0.419862568378448
2013,0.449862569570541
2014,0.479862570762634
2015,0.499862551689148
2016,0.529862582683563
2017,0.569862544536591
2018,0.599862575531006
2019,0.639862537384033
2020,0.669862568378448
2021,0.709862589836121
2022,0.739862561225891
2023,0.779862582683563
2024,0.819862544536591
2025,0.849862575531006
2026,0.889862537384033
2027,0.919862568378448
2028,0.959862589836121
2029,0.999862551689148
2030,1.03986251354218
2031,1.07986259460449
2032,1.11986255645752
2033,1.15986251831055
2034,1.19986259937286
2035,1.23986256122589
2036,1.27986252307892
2037,1.31986260414124
2038,1.35986256599426
2039,1.39986252784729
2040,1.44986259937286
2041,1.48986256122589
2042,1.52986252307892
2043,1.56986260414124
2044,1.61986255645752
2045,1.65986251831055
2046,1.69986259937286
2047,1.73986256122589
2048,1.78986251354218
2049,1.82986259460449
2050,1.87986254692078
2051,1.9198625087738
2052,1.95986258983612
2053,2.00986266136169
2054,2.04986262321472
2055,2.08986258506775
2056,2.12986254692078
2057,2.1698625087738
2058,2.19986248016357
2059,2.2398624420166
2060,2.27986264228821
2061,2.32986259460449
2062,2.36986255645752
2063,2.39986252784729
2064,2.43986248970032
2065,2.47986245155334
2066,2.50986266136169
2067,2.54986262321472
2068,2.58986258506775
2069,2.61986255645752
2070,2.64986252784729
2071,2.67986249923706
2072,2.70986247062683
2073,2.72986245155334
2074,2.75986266136169
2075,2.78986263275146
2076,2.81986260414124
2077,2.84986257553101
2078,2.86986255645752
2079,2.89986252784729
2080,2.9198625087738
2081,2.94986248016357
2082,2.96986246109009
2083,2.9898624420166
2084,3.00986266136169
2085,3.03986263275146
2086,3.05986261367798
2087,3.07986259460449
2088,3.09986257553101
2089,3.10986256599426
2090,3.12986254692078
2091,3.14986252784729
2092,3.15986251831055
2093,3.17986249923706
2094,3.19986248016357
2095,3.20986247062683
2096,3.22986245155334
2097,3.2398624420166
2098,3.25986266136169
2099,3.27986264228821
