region,year,mean,sdev
CYP,1980-1999,9.8633145152611714,0.046773380703667509
TON,1980-1999,8.6633145716072946,0.33652347984914482
CHN,1980-1999,9.0287686220049252,0.034968951415599865
VUT,1980-1999,8.5570353797821923,0.23983920309336257
SPM,1980-1999,8.923726553018307,0.0046974570859571983
BEL,1980-1999,10.458174575974054,0.024692519269003867
ISL,1980-1999,10.468766818022283,0.053040312167271952
CHL,1980-1999,9.5027064192274846,0.091078129589245646
FUND-FSU,1980-1999,9.2258822954368913,0.031258852176907652
GMB,1980-1999,7.4852922331092726,0.087818324766598704
KHM,1980-1999,7.6680171574720513,0.035407803797025746
GTM,1980-1999,8.5495037992053202,0.17440757321860978
DMA,1980-1999,8.923726553018307,0.0046974570859571983
HTI,1980-1999,7.1362721438318841,0.14916273887256962
SRB,1980-1999,8.9423976405974361,0.041940048636509027
NLD,1980-1999,10.593051521806442,0.056948264662095203
UMI,1980-1999,8.923726553018307,0.0046974570859571983
BRB,1980-1999,9.9105752174234976,0.11718279427566893
GNB,1980-1999,6.9128662013845652,0.11239165687769935
GRL,1980-1999,8.9346923682402259,0.0046979337670468423
TWN,1980-1999,nan,nan
COG,1980-1999,8.0676839873827166,0.29450667567898819
COD,1980-1999,5.7645712530268876,0.065661420416949196
IRL,1980-1999,10.479467505307676,0.02430873291235074
JOR,1980-1999,8.5584600299647384,0.016046109351940716
BHR,1980-1999,10.029905957155599,0.057327284298741517
YEM,1980-1999,7.8014104605125851,0.10301700330935029
NPL,1980-1999,7.0642530314991152,0.038882387362181255
LAO,1980-1999,7.9439189859076134,0.06684281678349463
CAN,1980-1999,10.502532703160025,0.0077486825350873067
URY,1980-1999,9.4486422724958601,0.069309542836365326
KWT,1980-1999,10.726005288660021,0.047621049732689928
CPV,1980-1999,8.2872538866130512,0.057487472894716618
SHN,1980-1999,8.923726553018307,0.0046974570859571983
UGA,1980-1999,7.0898007536986896,0.0098750053788175078
UKR,1980-1999,8.8565402557165793,0.056950172250266176
