region,year,mean,sdev
CYP,1980-1999,6.4830056222359262e-05,8.7518829212877234e-05
TON,1980-1999,4.0324703058850404e-05,7.3923971757627196e-05
MHL,1980-1999,3.8672451089300643e-05,0.0001038940347106261
CHN,1980-1999,4.2637998558800424e-05,5.8821272759925599e-05
MAF,1980-1999,2.8177731721066115e-05,0.00011176522028646046
VUT,1980-1999,2.9033490193610629e-05,8.1218610078034349e-05
SPM,1980-1999,0.00010438721376209409,0.00011221001087891138
BEL,1980-1999,1.1561343509348272e-05,2.0037543016706e-05
ISL,1980-1999,1.3413227716806927e-06,8.7741724059491287e-06
CHL,1980-1999,6.3056116133972557e-05,4.5309827678229355e-05
POL,1980-1999,4.3525507268649558e-05,4.6347332659300627e-05
MLT,1980-1999,6.2492232371122667e-05,7.9771148311110808e-05
FUND-FSU,1980-1999,7.3863691858846981e-05,8.8923154782146344e-05
GMB,1980-1999,-0.00010322352734953604,0.00013925991563522267
BLM,1980-1999,6.3700208362043063e-05,9.6799172211719121e-05
KHM,1980-1999,-0.00013462599129617392,0.0001650374788028944
GTM,1980-1999,7.5774953790889527e-05,8.3634381767009504e-05
DMA,1980-1999,5.4802274963859022e-05,9.7077150671950698e-05
HTI,1980-1999,-9.8986945061852456e-05,0.00018348588812474724
SRB,1980-1999,9.0423861913408224e-05,0.00010968645066286462
NLD,1980-1999,6.6918399272438673e-06,1.9874988876386927e-05
UMI,1980-1999,3.7474644380016781e-05,0.00010226306161549624
BRB,1980-1999,9.1637367402493063e-05,0.00014504532920015377
GNB,1980-1999,-0.00014473086559992375,0.00016798148607003255
GRL,1980-1999,0.0003964357015801779,0.0005305349659617851
TWN,1980-1999,nan,nan
COG,1980-1999,-2.0509327022779227e-05,0.00011143216023901172
COD,1980-1999,-8.8330986994726972e-05,0.00021384736273498747
IRL,1980-1999,9.2386471853550494e-06,1.6605667016570112e-05
JOR,1980-1999,9.843464535503093e-05,0.00013529736270333068
BHR,1980-1999,3.6502918251236371e-05,0.00010767430459926523
YEM,1980-1999,8.1432642335873946e-05,0.00012511362923595126
NPL,1980-1999,3.0887546658443573e-05,0.00016963009089371103
LAO,1980-1999,-2.7672049740200161e-05,0.00010376749568115871
CAN,1980-1999,1.0743216752494026e-05,2.4291683171110755e-05
URY,1980-1999,3.8244830837301601e-05,4.7907625426462648e-05
KWT,1980-1999,4.3164874652665354e-05,0.00010369892113336996
CPV,1980-1999,7.4553710554666351e-05,0.00012774130981410277
SHN,1980-1999,0.00011142698762585474,0.00010864512445494246
UGA,1980-1999,2.3320182378596875e-05,0.00016298275527111691
UKR,1980-1999,9.6897609201389534e-05,0.00011779501494237174
TCD,1980-1999,-0.00024728091821303783,0.00025384346972986445
SSD,1980-1999,-2.1004332127643063e-05,0.00015582154618007854
PLW,1980-1999,9.9745275881665526e-06,0.00011841463539623835
HMD,1980-1999,nan,nan
PHL,1980-1999,-4.0328600284993578e-05,0.00011728938961229235
CA-,1980-1999,7.0596884721649321e-05,0.00011707789436980744
WSM,1980-1999,-9.3231189768987832e-06,9.388760005215711e-05
DNK,1980-1999,1.1009142712289198e-05,2.1992081425438168e-05
ESH,1980-1999,4.5490956372030174e-05,8.0100198475464791e-05
FUND-CHI,1980-1999,4.3233599057564443e-05,5.8586363021451764e-05
ATF,1980-1999,nan,nan
BFA,1980-1999,-0.00027629192176458536,0.00026436488254090906
VEN,1980-1999,4.5305538262645163e-05,0.00010207703731308523
ARM,1980-1999,8.6623678811854722e-05,0.00011984852516900944
TJK,1980-1999,0.00011602788528280178,0.00017955856882854649
EST,1980-1999,4.127072468253758e-05,5.2620165635689701e-05
ARE,1980-1999,5.7412616175103608e-05,0.00010195533986651035
THA,1980-1999,-1.0510713710902291e-06,9.9376927088685123e-05
FUND-USA,1980-1999,2.3950875118128217e-05,4.213648463469959e-05
MAR,1980-1999,0.00011103997632242722,0.00013767141089860097
ZMB,1980-1999,4.5112286918690288e-05,0.00016103784848459392
FUND-SIS,1980-1999,2.5323271617781396e-06,0.00010990922067068888
,1980-1999,3.5965419243024268e-05,8.5013399872049407e-05
IND,1980-1999,-6.2593301693066378e-05,0.00012098769559296783
GGY,1980-1999,9.2963757884398425e-05,9.0876873937028582e-05
MSR,1980-1999,2.879543432562832e-05,0.00010645375955032452
PCN,1980-1999,9.1050762194763417e-05,0.00011491385603132966
MKD,1980-1999,9.0816806135649898e-05,0.00010309484772419558
COK,1980-1999,5.1946145638691523e-05,7.8411250013393538e-05
KO-,1980-1999,0.00010017087817760816,0.00011345979262548097
STP,1980-1999,0.0001144957015261942,0.00017061110154185805
AIA,1980-1999,3.031894605803483e-05,0.00010968502292398281
UZB,1980-1999,7.5913265543062978e-05,0.00016137344081390469
TZA,1980-1999,2.3436995691162062e-05,0.0001455337376877514
SLE,1980-1999,-0.00010857733990682259,0.00016238614532390581
SWZ,1980-1999,6.4039386508073283e-05,9.6398000738603536e-05
PER,1980-1999,8.5931476008929377e-05,7.5508743389378154e-05
BRN,1980-1999,0.00014144982613841786,0.0001562280733470943
ATG,1980-1999,1.7671984171168099e-05,0.00011932673528678507
LIE,1980-1999,9.2431044055193951e-05,9.5201333703940442e-05
GIN,1980-1999,-7.9441852919953646e-05,0.0001602465307269596
SMR,1980-1999,0.00010460083751004567,0.00010537204310230305
AGO,1980-1999,6.4978029069321752e-05,8.782362632340166e-05
TUR,1980-1999,7.0992126015031784e-05,8.4387653947591801e-05
AND,1980-1999,9.6311213177758032e-05,9.1540487672462899e-05
DOM,1980-1999,4.6451181197135136e-05,0.0001201014334065856
PAK,1980-1999,-8.9813579754274768e-05,0.00016236301232585833
LCA,1980-1999,4.2460147267237694e-05,0.00010717429532435782
MWI,1980-1999,2.5145724549887485e-05,0.00019227446121125285
CUW,1980-1999,-1.4868860150263967e-05,0.00013577700898440782
NER,1980-1999,-0.00042672283322357074,0.00040158928098749661
ALA,1980-1999,0.00011080845428632037,0.00012144865814696241
TTO,1980-1999,0.00011649961334577164,0.00016077817525193358
SUR,1980-1999,2.7984967211370648e-05,0.00013102708771335858
GLP,1980-1999,2.6891375850977654e-05,0.00010950025034978304
BDI,1980-1999,0.00011218707519471493,0.00023091744963369228
SGS,1980-1999,nan,nan
NIC,1980-1999,-2.3197474947774308e-05,0.00011057081563063791
SP-,1980-1999,nan,nan
VGB,1980-1999,2.7839080378842819e-05,0.00010679348709786956
SLV,1980-1999,2.3978589153673804e-05,8.2487701718769231e-05
CMR,1980-1999,-5.1404136286607743e-05,0.00013010716281129119
FUND-EEU,1980-1999,5.8723643107584594e-05,6.2922781573886006e-05
MTQ,1980-1999,2.742591866234897e-05,0.00011052750984688606
LVA,1980-1999,5.5455348923881877e-05,6.50778619240354e-05
