region,year,mean,sdev
CYP,1980-1999,5.4979482787842429e-05,8.0500430292876869e-05
TON,1980-1999,5.1803951293446148e-05,7.1567159187248738e-05
MHL,1980-1999,2.9686872106894134e-05,9.7577346111915527e-05
CHN,1980-1999,5.2925067497858965e-05,6.1783796049531063e-05
MAF,1980-1999,1.7566493894557753e-05,0.00010274714859057684
VUT,1980-1999,3.4181194665834041e-05,8.2195173774697955e-05
SPM,1980-1999,9.8152297285706257e-05,0.00010947177659030276
BEL,1980-1999,1.5178805675919981e-05,2.2507396362273498e-05
ISL,1980-1999,1.256148248116124e-06,8.1360878741965258e-06
CHL,1980-1999,5.2923466755714918e-05,4.9955367365139948e-05
POL,1980-1999,4.2812255835353258e-05,4.4147836937177402e-05
MLT,1980-1999,6.0400873314593355e-05,7.3217160596830119e-05
FUND-FSU,1980-1999,8.0890077009142884e-05,9.0169233817560674e-05
GMB,1980-1999,-0.00010645247811727936,0.00014235299987841075
BLM,1980-1999,5.6513263499787961e-05,8.7883041785711161e-05
KHM,1980-1999,-0.00012351595190633873,0.00015923011067795658
GTM,1980-1999,8.6358241952306513e-05,9.396229322397412e-05
DMA,1980-1999,5.0240611686533666e-05,9.0705631826867823e-05
HTI,1980-1999,-0.00010937141888798508,0.00018544423761607541
SRB,1980-1999,8.0996384949508313e-05,0.00010302142743557251
NLD,1980-1999,8.2209845476283855e-06,2.1715107310689324e-05
UMI,1980-1999,2.4028759283487512e-05,9.9278093537807349e-05
BRB,1980-1999,7.6876194368224993e-05,0.00013930900573519628
GNB,1980-1999,-0.00014173725562312273,0.00016375454356208418
GRL,1980-1999,0.00040681704600229108,0.0004234271676737194
TWN,1980-1999,nan,nan
COG,1980-1999,-2.2813305569907878e-05,0.00011184373214044773
COD,1980-1999,-8.6303257856804014e-05,0.00020774646779674193
IRL,1980-1999,1.001698461765436e-05,1.7301050866571923e-05
JOR,1980-1999,9.2980506950918751e-05,0.00012215980706995451
BHR,1980-1999,3.7121223480598162e-05,0.00011734092027540221
YEM,1980-1999,8.2680586986978854e-05,0.00012628667728896683
NPL,1980-1999,3.6004760213870095e-05,0.00014473514959780043
LAO,1980-1999,-3.3056292736459473e-05,0.00010580203944880253
CAN,1980-1999,1.0625470547236494e-05,2.2344699151036278e-05
URY,1980-1999,3.9565480373095283e-05,5.0722265523078567e-05
KWT,1980-1999,4.1451700090703461e-05,0.00011411661027948757
CPV,1980-1999,7.5053763682399383e-05,0.00013257644722742881
SHN,1980-1999,0.00010690314494337755,0.00010889234256816157
UGA,1980-1999,2.269578699715887e-05,0.00015795443929677195
UKR,1980-1999,8.3686934239685665e-05,0.00010423151656834139
TCD,1980-1999,-0.00026745230631649604,0.00029398418804141491
SSD,1980-1999,-2.8001871175523544e-05,0.00015251845539076636
