region,year,mean,sdev
CYP,1980-1999,-6.165585851294944e-06,5.8750018593546758e-05
TON,1980-1999,1.2878568865036966e-05,3.9359986515185819e-05
MHL,1980-1999,8.2259853956549845e-06,8.8412024842922105e-05
CHN,1980-1999,-1.7333768561439326e-06,2.673968975797813e-05
MAF,1980-1999,1.4804360660981289e-05,9.5711179530246686e-05
VUT,1980-1999,1.3522840538882193e-05,5.9590342193630152e-05
SPM,1980-1999,1.37541565565244e-05,2.079703816256698e-05
BEL,1980-1999,-5.3587214897446345e-07,8.6457533008794733e-06
ISL,1980-1999,1.5182170700457653e-05,3.0694307984724564e-05
CHL,1980-1999,3.5032114102775433e-06,1.2557896902350717e-05
POL,1980-1999,5.558912740075936e-06,1.2420508122203467e-05
MLT,1980-1999,-4.7299284146627738e-06,5.2955683126881008e-05
FUND-FSU,1980-1999,1.0726255566822545e-05,2.1726261592387012e-05
GMB,1980-1999,-1.5984115113076794e-05,9.5437868553938137e-05
BLM,1980-1999,1.9680582246906025e-05,6.2183778071461018e-05
KHM,1980-1999,-3.3883730407387832e-05,0.00011294145775194311
GTM,1980-1999,1.4830737602549906e-05,4.1840579502836572e-05
DMA,1980-1999,1.9540569203720398e-05,7.1266929714024197e-05
HTI,1980-1999,8.9570069018099275e-07,0.00011019421310787039
SRB,1980-1999,9.6864237689366625e-06,2.7642388635850092e-05
NLD,1980-1999,3.6435250951522589e-07,8.8913813981192264e-06
UMI,1980-1999,8.0381312530229003e-06,8.8690433808062436e-05
BRB,1980-1999,1.8675329493886548e-05,0.00010813320926177765
GNB,1980-1999,-1.8838779073223636e-05,0.00010025055658093215
GRL,1980-1999,4.0865709881310631e-05,7.6095843068879041e-05
TWN,1980-1999,nan,nan
COG,1980-1999,9.7893279477891309e-06,8.2285832007961864e-05
COD,1980-1999,1.5051523958538935e-05,8.5886875745816763e-05
IRL,1980-1999,6.8094115797427744e-07,5.853589322437574e-06
JOR,1980-1999,7.240939141885434e-06,4.8842441703221353e-05
BHR,1980-1999,-4.2459722365568012e-05,0.00011682234725343232
YEM,1980-1999,9.8698645797345907e-06,5.4966858484383396e-05
NPL,1980-1999,-1.8864675484744973e-07,6.5643919292966642e-05
LAO,1980-1999,-1.6423877001222516e-06,7.2937508541063016e-05
CAN,1980-1999,1.7536505934376506e-05,1.5702507270291093e-05
URY,1980-1999,1.1592211230639166e-06,1.9545367411307829e-05
KWT,1980-1999,-3.6956461773221931e-05,9.8803412318982894e-05
CPV,1980-1999,2.4397465912864377e-05,6.5635475726558886e-05
