region,year,mean,sdev
CYP,1980-1999,-2.8266524480403654e-05,0.00014287977601507338
TON,1980-1999,0.00042516882404093766,0.00033384142950088227
MHL,1980-1999,0.00014078771264802142,0.00031577358757358819
CHN,1980-1999,5.9888915626604321e-05,0.00012478572548476057
MAF,1980-1999,0.0003186265325599192,0.00034949565316860185
VUT,1980-1999,0.0004507274964735817,0.000341607776590846
SPM,1980-1999,0.00037479177601693877,0.00039591903327364041
BEL,1980-1999,0.00028884980691966421,0.00021860115499831804
ISL,1980-1999,0.00051835333835688346,0.00094729296322022154
CHL,1980-1999,0.00019513230794018408,0.00012838466242360349
POL,1980-1999,0.00030463334470545885,0.00022492431420889755
MLT,1980-1999,2.8362897428206249e-05,0.00013974700075718529
FUND-FSU,1980-1999,0.0003748669033972818,0.00026836286896349596
GMB,1980-1999,-0.00029135957874215157,0.00038781609937392958
BLM,1980-1999,0.00053038795545255648,0.00044410130149570581
KHM,1980-1999,-0.00064308994439955163,0.00062754448137700191
GTM,1980-1999,0.00056201661393946581,0.00035756636239581141
DMA,1980-1999,0.00053199196467814335,0.00041768184840522768
HTI,1980-1999,9.5360434307733923e-05,0.00052597934555691033
SRB,1980-1999,0.00027594791827764426,0.00030842260248585871
NLD,1980-1999,0.00034138255659637315,0.00028144543736625998
UMI,1980-1999,0.00013299552941732965,0.00033784439402833639
BRB,1980-1999,0.00034133077521250556,0.00044840947236142388
GNB,1980-1999,-0.00034244089200740772,0.00044706952723639405
GRL,1980-1999,0.00018736876870365917,0.00022295773465924758
TWN,1980-1999,nan,nan
COG,1980-1999,0.00030338794247262285,0.00029119506990903267
COD,1980-1999,0.00051953563764280293,0.00063945418854918648
IRL,1980-1999,0.00028721587664008659,0.00021682109614743641
JOR,1980-1999,0.00024424419196781346,0.00032233932740742256
BHR,1980-1999,-0.00021128643555718318,0.00050813202399626679
YEM,1980-1999,0.00044417016317148519,0.00033594848753568579
NPL,1980-1999,0.00011627914469008857,0.00039281281662731409
LAO,1980-1999,-5.2692032282179191e-05,0.00037645331774927189
CAN,1980-1999,0.00056016097132129453,0.00033261021140165665
URY,1980-1999,0.00012732582799468317,0.00012654246357132829
KWT,1980-1999,-0.00014089039335120156,0.00041201124268153952
CPV,1980-1999,0.00070981040222323091,0.0005832379163828714
SHN,1980-1999,0.00051767788473819235,0.0003583344685119072
UGA,1980-1999,0.00086564035029265847,0.00062025683517958079
UKR,1980-1999,0.00038289197236050516,0.00036666041791656435
TCD,1980-1999,-0.0017568885817762408,0.0013167451850678745
SSD,1980-1999,-0.00020142965522921657,0.00039514426957841379
PLW,1980-1999,0.00014038723524386552,0.00029402142192706143
HMD,1980-1999,nan,nan
PHL,1980-1999,9.5006637178580546e-05,0.00022052228198935953
CA-,1980-1999,-5.9474976418120281e-05,0.00022904185207477091
WSM,1980-1999,0.00016503274131351824,0.00027287630421462882
DNK,1980-1999,0.00046707682562748296,0.00037234196918026566
ESH,1980-1999,0.00021473760556832875,0.00021585896069176616
FUND-CHI,1980-1999,6.325449442207216e-05,0.00012296466198328173
ATF,1980-1999,nan,nan
BFA,1980-1999,-0.0015467979563303241,0.0012239847489962316
VEN,1980-1999,0.00027192925391549845,0.00023436647210013916
ARM,1980-1999,0.00035415018913048234,0.00032016748151867828
TJK,1980-1999,0.00033435693233401382,0.00039623556045742146
EST,1980-1999,0.00049106299773595213,0.00035950336062599326
ARE,1980-1999,6.8149006138446997e-05,0.00033428483108306588
THA,1980-1999,-5.8812783171775274e-05,0.00028198329953874784
FUND-USA,1980-1999,0.00012110562495928247,0.00016483563060351209
MAR,1980-1999,0.00052313709578356144,0.00037624314750441868
ZMB,1980-1999,0.00077969113419483948,0.00059126147060705641
FUND-SIS,1980-1999,0.00025719417780969457,0.0002370033367789535
,1980-1999,6.4901494212792551e-05,0.00013809107236189302
IND,1980-1999,-0.0005465727675983969,0.00040686357239755778
GGY,1980-1999,0.00037296880751233651,0.00029691168681377254
MSR,1980-1999,0.00035898067328067574,0.00032446514949747296
PCN,1980-1999,0.00037254022042343643,0.00039891729146129161
MKD,1980-1999,0.00029463157538677995,0.00031429598466410543
COK,1980-1999,0.00028614609282722446,0.00028065469349903177
KO-,1980-1999,0.00034131481864031093,0.00034824849328592941
STP,1980-1999,0.0010230403143926608,0.00079314142732996951
AIA,1980-1999,0.00032361752427426447,0.00034877626087598317
UZB,1980-1999,9.957971023382217e-05,0.00037453396315146719
TZA,1980-1999,0.0006572818327897431,0.00052243592319499454
SLE,1980-1999,8.6726455062156356e-05,0.00041958326602301569
SWZ,1980-1999,0.00043743906591171117,0.0003801708619098157
PER,1980-1999,0.00041174553220247998,0.0002954244804286177
BRN,1980-1999,0.00036371010024446681,0.00062328387910740859
ATG,1980-1999,0.00023983708491199894,0.00027617858161311577
LIE,1980-1999,0.00041169358574622553,0.00033057793116243115
GIN,1980-1999,0.00024178931140770812,0.00043535740611724908
SMR,1980-1999,0.00040248136505744114,0.0003382967556111376
AGO,1980-1999,0.00057763338670730911,0.00034268753455475733
TUR,1980-1999,0.00012217710051212183,0.00020836244265147425
AND,1980-1999,0.00048350408697674915,0.00037994908979538215
DOM,1980-1999,0.00035040554664303588,0.00030125914309909221
PAK,1980-1999,-0.0012320221611664928,0.0010818124699751442
LCA,1980-1999,0.00031759400831247152,0.00029804157806031801
MWI,1980-1999,0.00082292184439597567,0.00067554879785690163
CUW,1980-1999,-0.0001085550858580029,0.00030557958028174144
NER,1980-1999,-0.0031104584623348071,0.0024645990502785695
ALA,1980-1999,0.00056975511469090361,0.00043141478794604942
TTO,1980-1999,0.00036578875574944472,0.00051277830529163006
SUR,1980-1999,0.00019543236784960716,0.00028193659664934087
GLP,1980-1999,0.00031906101850465006,0.00030133231680265152
BDI,1980-1999,0.0014016871575958352,0.0010096506561742347
SGS,1980-1999,nan,nan
NIC,1980-1999,0.00033227206206007376,0.00031881630654078503
SP-,1980-1999,nan,nan
VGB,1980-1999,0.00032878270495103923,0.00030683123371043027
SLV,1980-1999,0.00041101969866703768,0.00028981240499674894
CMR,1980-1999,7.8226096397439801e-05,0.00035758520074005305
FUND-EEU,1980-1999,0.00026406220806185406,0.00022332482663100408
MTQ,1980-1999,0.00034543410875996771,0.00031153556100038443
LVA,1980-1999,0.00044063539521927911,0.00031717545313967053
