region,year,mean,sdev
CYP,1980-1999,-1.759351385349469e-06,0.00014935606733440827
TON,1980-1999,0.00034499870652767166,0.00036545472968344802
MHL,1980-1999,0.00021369581600994778,0.00031648861445237702
CHN,1980-1999,4.1649128752183083e-05,0.00012522701927962542
MAF,1980-1999,0.00034698437922809863,0.00037125195921934611
VUT,1980-1999,0.0003829488416317396,0.00035927121036187656
SPM,1980-1999,0.00041098853151789419,0.00042348296093241652
BEL,1980-1999,0.00025121578636204753,0.00020777529465247291
ISL,1980-1999,0.00059944657461950097,0.0010163368049881641
CHL,1980-1999,0.00021834942543721145,0.00012639096133385894
POL,1980-1999,0.00031801376741545645,0.00023020592816229529
MLT,1980-1999,4.3700464641047722e-05,0.00013689225329054504
FUND-FSU,1980-1999,0.00038008390383006827,0.0002682536553224579
GMB,1980-1999,-0.00025716551099962191,0.0003712956834695738
BLM,1980-1999,0.00055470668769843896,0.00047585211499160052
KHM,1980-1999,-0.00063836898587620473,0.00062515924548973403
GTM,1980-1999,0.00048011452552149271,0.00031471036734555307
DMA,1980-1999,0.00053613707639787707,0.00045352098151928106
HTI,1980-1999,0.00011332811072536353,0.00048923519106240675
SRB,1980-1999,0.00034214981936761074,0.00029875123497031592
NLD,1980-1999,0.00030518487336888504,0.00027393859062186206
UMI,1980-1999,0.00019766754768867087,0.00028607989333094991
BRB,1980-1999,0.0003592616008444902,0.00047587573586024281
GNB,1980-1999,-0.00031262993828701691,0.00045507437669386189
GRL,1980-1999,0.0002304870247661501,0.0002526684060431924
TWN,1980-1999,nan,nan
COG,1980-1999,0.00031131256073354684,0.00029145929772788682
COD,1980-1999,0.0005095217622329472,0.00064837824796750896
IRL,1980-1999,0.00026780545970574258,0.00021850589493867386
JOR,1980-1999,0.00028632664074979165,0.00032634273948204008
BHR,1980-1999,-0.00021866147024061149,0.00054932739651567799
YEM,1980-1999,0.0003878323165994525,0.00031728489198099046
NPL,1980-1999,0.00011141581594997564,0.00044020758417641674
LAO,1980-1999,1.7656112646956916e-05,0.00033287989807123262
CAN,1980-1999,0.00065789311441164877,0.00036994190417348943
URY,1980-1999,0.00011361842689205833,0.00012792731493088932
KWT,1980-1999,-0.000143894003741774,0.00041568418525861898
CPV,1980-1999,0.00068707461060909549,0.00066213038161562314
SHN,1980-1999,0.00053265281902728826,0.00037630411557658589
UGA,1980-1999,0.00085622775744738551,0.00067583778702555517
UKR,1980-1999,0.00042846770264868211,0.00037899555682893515
TCD,1980-1999,-0.0015784267155422034,0.0012093578002316905
SSD,1980-1999,-0.00020208918133388665,0.00041122950862554244
PLW,1980-1999,0.0001640204265187185,0.00027620688380140601
HMD,1980-1999,nan,nan
PHL,1980-1999,0.00011057172354349185,0.00024074796342274894
CA-,1980-1999,-3.2015238479833358e-05,0.00023640737882368193
WSM,1980-1999,0.00014504266532157812,0.00027223563476088281
DNK,1980-1999,0.00045248200917072438,0.00038067926957751627
ESH,1980-1999,0.00020749287832147971,0.00025417793748063714
FUND-CHI,1980-1999,4.5835234055313966e-05,0.00012272145279003114
ATF,1980-1999,nan,nan
BFA,1980-1999,-0.0015974062188386787,0.0012150282166826182
VEN,1980-1999,0.0002782845838287178,0.00024297098744856715
ARM,1980-1999,0.00033802820101171854,0.00028656669578135406
TJK,1980-1999,0.00023435220244068746,0.00037995077266028893
EST,1980-1999,0.00046898599267570829,0.00036652294903868546
ARE,1980-1999,5.4708306541234418e-05,0.00033908318499674677
THA,1980-1999,-1.2708588341256924e-05,0.00025948068537029462
FUND-USA,1980-1999,0.00015983126627260711,0.00016864915817131645
MAR,1980-1999,0.00045399670705504301,0.00036501454525512793
ZMB,1980-1999,0.00080707421340633695,0.00061614431910594219
FUND-SIS,1980-1999,0.00024958455933800659,0.00024987899740407658
,1980-1999,7.2794786505360969e-05,0.0001347821657899838
IND,1980-1999,-0.00052335161496789217,0.0004258301740982775
GGY,1980-1999,0.00027734729347393287,0.00027439674551128383
MSR,1980-1999,0.00036366403733151769,0.00035051247421669985
PCN,1980-1999,0.00040548577029689303,0.00042677749578346
MKD,1980-1999,0.00038653348265195128,0.00030081885085305116
COK,1980-1999,0.00029913357540709495,0.00033648588622427867
KO-,1980-1999,0.00043851533302638479,0.00033444370235034278
STP,1980-1999,0.0011328753070767013,0.00082568730314558922
AIA,1980-1999,0.00035149574574485677,0.00036958283709435095
UZB,1980-1999,3.7416383203320091e-05,0.00036056151451243333
TZA,1980-1999,0.00076610358558336876,0.00056808212770325577
SLE,1980-1999,8.5048583595720052e-05,0.00042840908338066905
SWZ,1980-1999,0.00046874467325572005,0.00038413141437910878
PER,1980-1999,0.00040880196510135894,0.00028417688031795804
BRN,1980-1999,0.00038761598808414929,0.00063054951332128207
ATG,1980-1999,0.00024529470267011812,0.00030091234210761683
LIE,1980-1999,0.00038797894889595956,0.00037273500935138849
GIN,1980-1999,0.00025571704965581801,0.0004513324518072872
SMR,1980-1999,0.00038578001478611364,0.00029794425886614111
AGO,1980-1999,0.00059766694168463582,0.00035814020541617768
TUR,1980-1999,0.0001682444655956476,0.00019245004920463005
AND,1980-1999,0.00044063566370046794,0.00035564074454311889
DOM,1980-1999,0.00034656236441110678,0.00031085864615272926
PAK,1980-1999,-0.001203888288656807,0.00084708000721997218
LCA,1980-1999,0.00032366113471512793,0.00032225919067841786
MWI,1980-1999,0.00086770818887804571,0.00070344712165797683
CUW,1980-1999,-9.6031364501655004e-05,0.00033319091983606889
NER,1980-1999,-0.0029320965710663005,0.0022396850138660081
ALA,1980-1999,0.00050193777047692026,0.00043678508931287348
TTO,1980-1999,0.00038024135649093353,0.00053060351206497044
SUR,1980-1999,0.00022483138570574625,0.00029780298245344104
GLP,1980-1999,0.00032628871093154247,0.00032566558536214644
BDI,1980-1999,0.0014674344999573009,0.0010381770135557977
SGS,1980-1999,nan,nan
NIC,1980-1999,0.00031325243524613349,0.00030549276169739936
SP-,1980-1999,nan,nan
VGB,1980-1999,0.00033760227900159114,0.00032588539488689498
SLV,1980-1999,0.00038229611763719275,0.00028532846404094077
CMR,1980-1999,9.8085624247827916e-05,0.00032078274353387751
FUND-EEU,1980-1999,0.00030509389747197915,0.00021367514659107099
MTQ,1980-1999,0.00034700424350360789,0.00033627005770112231
LVA,1980-1999,0.00040165594575915849,0.00033602968874681675
MYT,1980-1999,0.00033754747166833194,0.00030965004216943636
MCO,1980-1999,0.00033812246664713565,0.00026223032781090918
ABW,1980-1999,2.9531041237792815e-05,0.0003724174417180295
GNQ,1980-1999,0.0002625113019284653,0.00032910441825600528
SYC,1980-1999,0.0002992408143272341,0.00039630631243433879
KIR,1980-1999,9.0737494174949072e-05,0.0004055410232555104
ECU,1980-1999,0.00027430865567127022,0.00023259183754981361
LKA,1980-1999,0.00015996714225986251,0.00021123239946373498
GAB,1980-1999,0.00031812077702740051,0.00031086233519669534
MAC,1980-1999,1.3126916588597086e-05,0.00032947471642283925
MLI,1980-1999,-0.0016473144751503364,0.001168887070373894
PRT,1980-1999,0.0001384015267549538,0.00011415912574745211
VCT,1980-1999,0.00025772331530927241,0.00028928073581008479
FIN,1980-1999,0.00085976470075149454,0.00067691942217769894
KOR,1980-1999,1.6548516892223761e-05,7.0432047175918898e-05
SYR,1980-1999,-0.00023471030175278683,0.00038854356100708615
VNM,1980-1999,-0.00017472447632704729,0.00030206202205406937
CHE,1980-1999,0.00040932671416698461,0.00031638717958176185
EGY,1980-1999,-3.7041078392176573e-05,0.00028097314095264973
TUN,1980-1999,8.2674817372321711e-05,0.00019839723339478888
FUND-ANZ,1980-1999,6.305491206342101e-06,7.940990358599277e-05
IRN,1980-1999,-0.00016836705383596422,0.00015757619393415594
TGO,1980-1999,-0.00073084198670340711,0.00074547631173656605
SWE,1980-1999,0.0006825043847354951,0.00056315055027175264
FUND-LAM,1980-1999,0.00025989196166560603,0.00019006661585916482
RUS,1980-1999,0.00042808901658359473,0.00029500724640978729
IRQ,1980-1999,-0.002107890515070042,0.0012381674964218761
HRV,1980-1999,0.00020175911453548153,0.00015761955569649493
SVN,1980-1999,0.000225012003726657,0.00014964090845418149
MOZ,1980-1999,0.00037066182550335696,0.000514567388381177
SEN,1980-1999,-0.00026569148849122076,0.00038708277743815608
RWA,1980-1999,0.0013829754154173822,0.00088803163866613328
CCK,1980-1999,0.00048926145808308075,0.00046358035890422866
FUND-SSA,1980-1999,5.6565877085287744e-05,0.00032079744285618152
BLZ,1980-1999,0.0001822404666330135,0.00020964437994825042
GEO,1980-1999,0.00037163352058853122,0.00029376640196186293
GUF,1980-1999,0.00025993591291084055,0.00025253267680277851
BTN,1980-1999,0.00038292272018658247,0.00031061143790251728
AUS,1980-1999,-1.3910569955381343e-05,8.8924946228700907e-05
MDA,1980-1999,0.0005751015989430519,0.00055747841103291173
VIR,1980-1999,0.00029664859744710562,0.00030224898564297172
MDV,1980-1999,0.00047444563899919372,0.00044216319588127743
HND,1980-1999,0.00045560900145086958,0.00032531303882286813
BHS,1980-1999,0.000191315446991283,0.0003203055523221463
FJI,1980-1999,0.00035014741965333517,0.00034142486641498409
NRU,1980-1999,0.00024082428203822288,0.00053679013224087557
NCL,1980-1999,0.00020401416411649961,0.00019275009808999901
FUND-#N/A,1980-1999,nan,nan
ARG,1980-1999,0.00011060635031271437,0.00011654715165179374
ZWE,1980-1999,0.0012657274025464548,0.0011613401461567701
FLK,1980-1999,0.00011754462640770477,0.00017046805469466311
FRO,1980-1999,0.00020375454808030071,0.00030392584070781784
TKM,1980-1999,-0.00022568086953501056,0.00027738252145196191
ROU,1980-1999,0.00033070244209730179,0.00026977995356967818
MNG,1980-1999,0.00055514340550802941,0.00041501973699114593
MEX,1980-1999,0.00024771688013347498,0.00016753346810512561
